  income  count
     0.0   1233
    60.0      5
   120.0     12
   180.0     12
   240.0     13
   300.0     17
   360.0     10
   420.0     14
   480.0     11
   540.0     16
   600.0     34
   660.0     38
   720.0     39
   780.0     51
   840.0     72
   900.0     96
   960.0     88
  1020.0    110
  1080.0    144
  1140.0    165
  1200.0    192
  1260.0    242
  1320.0    244
  1380.0    281
  1440.0    318
  1500.0    372
  1560.0    385
  1620.0    403
  1680.0    462
  1740.0    485
  1800.0    482
  1860.0    540
  1920.0    507
  1980.0    596
  2040.0    574
  2100.0    647
  2160.0    696
  2220.0    723
  2280.0    699
  2340.0    738
  2400.0    823
  2460.0    806
  2520.0    894
  2580.0    841
  2640.0    836
  2700.0    866
  2760.0    913
  2820.0    905
  2880.0    985
  2940.0    879
  3000.0   1066
  3060.0    906
  3120.0   1135
  3180.0   1015
  3240.0   1085
  3300.0   1095
  3360.0    990
  3420.0   1003
  3480.0   1042
  3540.0    950
  3600.0   1201
  3660.0    992
  3720.0   1120
  3780.0    996
  3840.0   1023
  3900.0   1124
  3960.0   1050
  4020.0   1028
  4080.0   1026
  4140.0    993
  4200.0   1202
  4260.0    959
  4320.0   1080
  4380.0   1066
  4440.0    960
  4500.0   1107
  4560.0    932
  4620.0    943
  4680.0    958
  4740.0    956
  4800.0   1153
  4860.0    986
  4920.0   1040
  4980.0   1062
  5040.0   1004
  5100.0   1072
  5160.0    892
  5220.0    953
  5280.0    996
  5340.0    927
  5400.0   1109
  5460.0    951
  5520.0    973
  5580.0    935
  5640.0    872
  5700.0    948
  5760.0    903
  5820.0    899
  5880.0    893
  5940.0    837
  6000.0   1078
  6060.0    870
  6120.0    892
  6180.0    812
  6240.0    818
  6300.0    923
  6360.0    818
  6420.0    726
  6480.0    786
  6540.0    757
  6600.0    964
  6660.0    740
  6720.0    746
  6780.0    762
  6840.0    765
  6900.0    898
  6960.0    698
  7020.0    760
  7080.0    669
  7140.0    588
  7200.0   1018
  7260.0    698
  7320.0    658
  7380.0    657
  7440.0    663
  7500.0    816
  7560.0    609
  7620.0    674
  7680.0    617
  7740.0    584
  7800.0    798
  7860.0    561
  7920.0    635
  7980.0    533
  8040.0    553
  8100.0    642
  8160.0    519
  8220.0    547
  8280.0    574
  8340.0    469
  8400.0    669
  8460.0    527
  8520.0    508
  8580.0    466
  8640.0    546
  8700.0    580
  8760.0    444
  8820.0    422
  8880.0    461
  8940.0    439
  9000.0    718
  9060.0    454
  9120.0    417
  9180.0    427
  9240.0    404
  9300.0    457
  9360.0    453
  9420.0    398
  9480.0    393
  9540.0    356
  9600.0    485
  9660.0    366
  9720.0    362
  9780.0    341
  9840.0    343
  9900.0    417
  9960.0    357
 10020.0    327
 10080.0    324
 10140.0    272
 10200.0    399
 10260.0    308
 10320.0    333
 10380.0    311
 10440.0    282
 10500.0    405
 10560.0    298
 10620.0    284
 10680.0    284
 10740.0    265
 10800.0    376
 10860.0    219
 10920.0    250
 10980.0    248
 11040.0    260
 11100.0    348
 11160.0    219
 11220.0    210
 11280.0    267
 11340.0    199
 11400.0    228
 11460.0    232
 11520.0    194
 11580.0    217
 11640.0    199
 11700.0    218
 11760.0    207
 11820.0    197
 11880.0    197
 11940.0    183
 12000.0    274
 12060.0    185
 12120.0    170
 12180.0    187
 12240.0    201
 12300.0    194
 12360.0    172
 12420.0    164
 12480.0    172
 12540.0    154
 12600.0    222
 12660.0    145
 12720.0    168
 12780.0    166
 12840.0    147
 12900.0    181
 12960.0    141
 13020.0    114
 13080.0    150
 13140.0    138
 13200.0    173
 13260.0    129
 13320.0    148
 13380.0    107
 13440.0    145
 13500.0    172
 13560.0    118
 13620.0    118
 13680.0    116
 13740.0    113
 13800.0    131
 13860.0    104
 13920.0    111
 13980.0    110
 14040.0    116
 14100.0    146
 14160.0    113
 14220.0    116
 14280.0    106
 14340.0     97
 14400.0    157
 14460.0     97
 14520.0     82
 14580.0     82
 14640.0     79
 14700.0    111
 14760.0     79
 14820.0     90
 14880.0     78
 14940.0    101
 15000.0    156
 15060.0     82
 15120.0     75
 15180.0     79
 15240.0     80
 15300.0     82
 15360.0     76
 15420.0     70
 15480.0     62
 15540.0     73
 15600.0     87
 15660.0     67
 15720.0     66
 15780.0     79
 15840.0     81
 15900.0     57
 15960.0     53
 16020.0     76
 16080.0     81
 16140.0     62
 16200.0     80
 16260.0     61
 16320.0     67
 16380.0     67
 16440.0     58
 16500.0     89
 16560.0     55
 16620.0     55
 16680.0     52
 16740.0     50
 16800.0     62
 16860.0     54
 16920.0     45
 16980.0     52
 17040.0     51
 17100.0     55
 17160.0     53
 17220.0     43
 17280.0     37
 17340.0     45
 17400.0     55
 17460.0     51
 17520.0     37
 17580.0     45
 17640.0     30
 17700.0     48
 17760.0     45
 17820.0     51
 17880.0     39
 17940.0     39
 18000.0     92
 18060.0     36
 18120.0     48
 18180.0     42
 18240.0     38
 18300.0     36
 18360.0     42
 18420.0     33
 18480.0     30
 18540.0     37
 18600.0     44
 18660.0     37
 18720.0     36
 18780.0     37
 18840.0     36
 18900.0     41
 18960.0     27
 19020.0     32
 19080.0     49
 19140.0     29
 19200.0     46
 19260.0     34
 19320.0     32
 19380.0     35
 19440.0     30
 19500.0     53
 19560.0     38
 19620.0     23
 19680.0     21
 19740.0     23
 19800.0     39
 19860.0     23
 19920.0     26
 19980.0     23
 20040.0     27
 20100.0     25
 20160.0     18
 20220.0     27
 20280.0     21
 20340.0     31
 20400.0     42
 20460.0     25
 20520.0     20
 20580.0     23
 20640.0     19
 20700.0     27
 20760.0     30
 20820.0     16
 20880.0     20
 20940.0     26
 21000.0     36
 21060.0     24
 21120.0     23
 21180.0     21
 21240.0     34
 21300.0     27
 21360.0     17
 21420.0     20
 21480.0     20
 21540.0     22
 21600.0     34
 21660.0     21
 21720.0     17
 21780.0     18
 21840.0     16
 21900.0     10
 21960.0     12
 22020.0     16
 22080.0     20
 22140.0     21
 22200.0     17
 22260.0     17
 22320.0     13
 22380.0     14
 22440.0     20
 22500.0     16
 22560.0     14
 22620.0     22
 22680.0     11
 22740.0     16
 22800.0     14
 22860.0     14
 22920.0     17
 22980.0     16
 23040.0     17
 23100.0     12
 23160.0      7
 23220.0     15
 23280.0      9
 23340.0     11
 23400.0     24
 23460.0     10
 23520.0     13
 23580.0     14
 23640.0      6
 23700.0     21
 23760.0     14
 23820.0      5
 23880.0     16
 23940.0      6
 24000.0     29
 24060.0     16
 24120.0     14
 24180.0      8
 24240.0      9
 24300.0     14
 24360.0      9
 24420.0      7
 24480.0      8
 24540.0     11
 24600.0     12
 24660.0      4
 24720.0     10
 24780.0     11
 24840.0     14
 24900.0     18
 24960.0     16
 25020.0      9
 25080.0     11
 25140.0     12
 25200.0     16
 25260.0      9
 25320.0     10
 25380.0      5
 25440.0      9
 25500.0     16
 25560.0     12
 25620.0     10
 25680.0      6
 25740.0      5
 25800.0     15
 25860.0      2
 25920.0     12
 25980.0     10
 26040.0      8
 26100.0     16
 26160.0      9
 26220.0      8
 26280.0     10
 26340.0      4
 26400.0      6
 26460.0      5
 26520.0     11
 26580.0     10
 26640.0      9
 26760.0      5
 26820.0      6
 26880.0      5
 26940.0      5
 27000.0     15
 27060.0      5
 27120.0      6
 27180.0      7
 27240.0      7
 27300.0      9
 27360.0      6
 27420.0      6
 27480.0     11
 27540.0      8
 27600.0      7
 27660.0      7
 27720.0     10
 27780.0     11
 27840.0      8
 27900.0      8
 27960.0      9
 28020.0      5
 28080.0      2
 28140.0      6
 28200.0      8
 28260.0      8
 28320.0      3
 28380.0      5
 28440.0      8
 28500.0      5
 28560.0      8
 28620.0      2
 28680.0      5
 28740.0      8
 28800.0     13
 28860.0      6
 28920.0      3
 28980.0      8
 29040.0      5
 29100.0      5
 29160.0      5
 29220.0      5
 29280.0     12
 29340.0      5
 29400.0      4
 29460.0      6
 29520.0      4
 29580.0      9
 29640.0      1
 29700.0      8
 29760.0      7
 29820.0      2
 29880.0      2
 29940.0      3
 30000.0     14
 30060.0      4
 30120.0      7
 30180.0      8
 30240.0      4
 30300.0      4
 30360.0      2
 30420.0      4
 30480.0      4
 30540.0      2
 30600.0      8
 30660.0      4
 30720.0      7
 30780.0      5
 30840.0      4
 30900.0      7
 30960.0      4
 31020.0      8
 31080.0      2
 31140.0      5
 31200.0      3
 31260.0      6
 31320.0      3
 31380.0      4
 31440.0      7
 31500.0      5
 31560.0      2
 31620.0      3
 31680.0      2
 31740.0      4
 31860.0      2
 31920.0      3
 31980.0      4
 32040.0      2
 32100.0      2
 32160.0      6
 32220.0      3
 32280.0      3
 32340.0      3
 32400.0      7
 32460.0      6
 32520.0      5
 32580.0      5
 32640.0      4
 32700.0      3
 32760.0      4
 32820.0      9
 32880.0      3
 32940.0      6
 33000.0      5
 33060.0      4
 33120.0      2
 33180.0      4
 33240.0      4
 33300.0      5
 33360.0      6
 33420.0      3
 33480.0      2
 33540.0      4
 33600.0      3
 33660.0      2
 33720.0      2
 33780.0      4
 33840.0      2
 33900.0      4
 33960.0      2
 34020.0      4
 34080.0      2
 34140.0      2
 34200.0      3
 34260.0      3
 34320.0      1
 34380.0      3
 34440.0      5
 34500.0      3
 34560.0      2
 34620.0      6
 34680.0      3
 34740.0      1
 34800.0      1
 34860.0      2
 34920.0      5
 34980.0      6
 35040.0      2
 35160.0      3
 35220.0      4
 35280.0      4
 35340.0      1
